StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q2_5_TEXT,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1,Q11_2,Q11_3,Q11_4,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q14,Q15,Q15_15_TEXT,Q16_1,Q16_2,Q16_3,Q16_4
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Please select the FOCM1MEDC1128 team you belong to:,Please select the type of team leadership structure your team had this term (please select the best option or describe an alternative) - Selected Choice,Please select the type of team leadership structure your team had this term (please select the best option or describe an alternative) - Other (please specify) - Text,"Please describe the process
your team used to develop this team leadership structure",Were you a leader in your group?,How happy were you with the leadership structure in your group?,"Using
the slider, please identify how effective your FOCM1MEDC1128 team leadership
structure was to promote the following characteristics: - Our team leadership structure promoted integrity (acting in the way you believe is right towards others on your team, following principles of academic integrity, always telling the truth)","Using
the slider, please identify how effective your FOCM1MEDC1128 team leadership
structure was to promote the following characteristics: - Our team leadership structure promoted responsibility (taking personal responsibility, admitting mistakes and failures, embracing responsibility for helping others on your team)","Using
the slider, please identify how effective your FOCM1MEDC1128 team leadership
structure was to promote the following characteristics: - Our team leadership structure promoted forgiveness (letting go of one's own mistakes, letting go of other teammates' mistakes)","Using
the slider, please identify how effective your FOCM1MEDC1128 team leadership
structure was to promote the following characteristics: - Our team leadership structure promoted compassion (actively caring about others on your team)","Below are some statements
about feelings and thoughts. Please slide the bar to the score that best
describes your experience of each statement over the last 2 weeks - I’ve been feeling optimistic about the future","Below are some statements
about feelings and thoughts. Please slide the bar to the score that best
describes your experience of each statement over the last 2 weeks - I’ve been feeling useful","Below are some statements
about feelings and thoughts. Please slide the bar to the score that best
describes your experience of each statement over the last 2 weeks - I’ve been feeling relaxed","Below are some statements
about feelings and thoughts. Please slide the bar to the score that best
describes your experience of each statement over the last 2 weeks - I’ve been dealing with problems well","Below are some statements
about feelings and thoughts. Please slide the bar to the score that best
describes your experience of each statement over the last 2 weeks - I’ve been thinking clearly","Below are some statements
about feelings and thoughts. Please slide the bar to the score that best
describes your experience of each statement over the last 2 weeks - I’ve been feeling close to other people","Below are some statements
about feelings and thoughts. Please slide the bar to the score that best
describes your experience of each statement over the last 2 weeks - I’ve been able to make up my own mind about things","The following questions will ask you how strongly you identify with your educational and social groups. Please indicate your level of agreement or disagreement with these questions.


Please
indicate how strongly you identify with your FOCM1MEDC1128 team by sliding the bar - I feel a bond with my FOCM1MEDC1128 team","The following questions will ask you how strongly you identify with your educational and social groups. Please indicate your level of agreement or disagreement with these questions.


Please
indicate how strongly you identify with your FOCM1MEDC1128 team by sliding the bar - I feel similar to the other members of my FOCM1MEDC1128 team","The following questions will ask you how strongly you identify with your educational and social groups. Please indicate your level of agreement or disagreement with these questions.


Please
indicate how strongly you identify with your FOCM1MEDC1128 team by sliding the bar - I have a sense of belonging to my FOCM1MEDC1128 team","The following questions will ask you how strongly you identify with your educational and social groups. Please indicate your level of agreement or disagreement with these questions.


Please
indicate how strongly you identify with your FOCM1MEDC1128 team by sliding the bar - I have a lot in common with the members of my FOCM1MEDC1128 team","Please indicate how strongly
you identify with your circle of family (immediate or extended) by sliding the
bar - I feel a bond with my family","Please indicate how strongly
you identify with your circle of family (immediate or extended) by sliding the
bar - I feel similar to the other members of my family","Please indicate how strongly
you identify with your circle of family (immediate or extended) by sliding the
bar - I have a sense of belonging to my family","Please indicate how strongly
you identify with your circle of family (immediate or extended) by sliding the
bar - I have a lot in common with the members of my family","Please indicate how strongly
you identify with your circle of friends outside of university, by sliding the
bar - I feel a bond with my circle of friends","Please indicate how strongly
you identify with your circle of friends outside of university, by sliding the
bar - I feel similar to the other members of my circle of friends","Please indicate how strongly
you identify with your circle of friends outside of university, by sliding the
bar - I have a sense of belonging to my circle of friends","Please indicate how strongly
you identify with your circle of friends outside of university, by sliding the
bar - I have a lot in common with the members of my circle of friends","Please indicate how strongly
you identify with your religious or spiritual group by sliding the
bar - I feel a bond with my religious or spiritual group","Please indicate how strongly
you identify with your religious or spiritual group by sliding the
bar - I feel similar to the other members of my religious or spiritual group","Please indicate how strongly
you identify with your religious or spiritual group by sliding the
bar - I have a sense of belonging to my religious or spiritual group","Please indicate how strongly
you identify with your religious or spiritual group by sliding the
bar - I have a lot in common with the members of my religious or spiritual group","Do you participate in any other groups (i.e., sports clubs, hobby groups, community groups)?","Please indicate how strongly
you identify with your community organization, sporting club or hobby group by
sliding the bar - I feel a bond with my community organization, sporting club or hobby group","Please indicate how strongly
you identify with your community organization, sporting club or hobby group by
sliding the bar - I feel similar to the other members of my community organization, sporting club or hobby group","Please indicate how strongly
you identify with your community organization, sporting club or hobby group by
sliding the bar - I have a sense of belonging to my community organization, sporting club or hobby group","Please indicate how strongly
you identify with your community organization, sporting club or hobby group by
sliding the bar - I have a lot in common with the members of my community organization, sporting club or hobby group",Have you participated any of the activities given by the Guidance and Counseling Office?,Which activities from the Guidance and Counseling Office have you participated in? (Select all that apply) - Selected Choice,Which activities from the Guidance and Counseling Office have you participated in? (Select all that apply) - Other - Text,"Please indicate how strongly
you identify with your peers in those activities you attended from the Guidance and Counseling Office by
sliding the bar - I feel a bond with those who participated in these activities","Please indicate how strongly
you identify with your peers in those activities you attended from the Guidance and Counseling Office by
sliding the bar - I feel similar to those who participated in these activities","Please indicate how strongly
you identify with your peers in those activities you attended from the Guidance and Counseling Office by
sliding the bar - I have a sense of belonging with those who participated in these activities","Please indicate how strongly
you identify with your peers in those activities you attended from the Guidance and Counseling Office by
sliding the bar - I have a lot in common with those who participated in these activities"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_5_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID13""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID16""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_15_TEXT""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}"
2021-03-07 00:43:26,2021-03-07 00:46:49,IP Address,100,202,True,2021-03-07 00:46:49,R_vNyooap08DWC3At,anonymous,EN,Code Blue,Our team elected a team leader early in the term,,random,No,Somewhat unhappy,6,4,6,5,3,2,3,4,4,3,3,4,4,4,4,2,5,3,5,5,5,1,7,3,4,4,4,No,,,,,Yes,Stressbuster Week,,5,2,4,4
2021-03-08 00:57:53,2021-03-08 01:27:15,IP Address,38,1761,False,2021-03-15 02:27:20,R_1KdphDUakTSrI2J,anonymous,EN,The Painkillers,Other (please specify),test,test,No,Neither happy nor unhappy,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15 05:32:11,2021-03-15 05:35:45,IP Address,100,214,True,2021-03-15 05:35:45,R_1KqDOcY7F175soY,anonymous,EN,Trauma Troopers,Team leadership was shared between all team members throughout the term and decisions were made in democratic way,,So anyone who wanted to be the leader could be the leader if the stepped up first.,No,Extremely happy,8,9,9,9,2,4,2,2,2,4,4,6,5,5,5,1,2,3,1,3,2,2,1,2,2,1,5,Yes,2,1,3,1,No,,,,,,
2021-03-15 05:32:11,2021-03-15 05:36:04,IP Address,100,233,True,2021-03-15 05:36:04,R_0CXEoYXhYaG6Ngt,anonymous,EN,Team Blood and Guts,Team leadership was shared between all team members throughout the term and decisions were made in democratic way,,Someone volunteered at the beginning of TRAT to become team leader.,Yes,Somewhat happy,7,9,10,10,4,5,3,3,3,4,5,5,6,6,6,1,1,1,1,1,2,2,2,1,1,1,1,No,,,,,No,,,,,,
2021-03-15 05:31:29,2021-03-15 05:36:11,IP Address,100,282,True,2021-03-15 05:36:12,R_3n6Ir5FQYE5fMgd,anonymous,EN,Super Scrubs,Team leadership rotated based on the task our team was performing,,someone elects himself at the beginning of each session,Yes,Extremely happy,10,10,10,10,5,5,5,5,5,2,5,4,4,5,5,1,2,1,1,5,5,4,5,2,1,1,1,Yes,3,2,2,2,Unsure,,,,,,
2021-03-15 05:32:07,2021-03-15 05:36:36,IP Address,100,268,True,2021-03-15 05:36:36,R_3KrciwiTINvRRUm,anonymous,EN,Vitamin IQ Deficiency,Team leadership was shared between all team members throughout the term and decisions were made in democratic way,,-,Yes,Extremely happy,9,8,5,8,4,4,4,4,3,3,3,6,6,5,5,1,2,1,2,2,3,3,3,1,3,2,3,No,,,,,No,,,,,,
2021-03-15 05:31:26,2021-03-15 05:36:50,IP Address,100,323,True,2021-03-15 05:36:50,R_2ATIODsZku5qB0t,anonymous,EN,Trauma Troopers,Team leadership was shared between all team members throughout the term and decisions were made in democratic way,,We always give alternate chances to every member of our group to become the team leader.,No,Extremely happy,10,10,10,9,4,4,3,3,4,4,4,6,6,6,6,2,3,3,4,1,1,1,1,2,3,3,4,Yes,2,2,2,2,Yes,"Pep Talk series,Art therapy sessions with Art Club,Peer tutoring initiative",,2,2,2,2
2021-03-15 05:31:20,2021-03-15 05:36:55,IP Address,100,334,True,2021-03-15 05:36:55,R_12D2Q5gdOIHv8hV,anonymous,EN,Super Scrubs,Team leadership was shared between all team members throughout the term and decisions were made in democratic way,,"the person who was gonna be the leader would ask if anyone is willing to take the lead, if no one replied that person would take the lead and be leader ",No,Somewhat happy,8,3,7,6,3,4,2,2,4,5,3,4,5,4,3,1,3,1,2,5,4,5,4,4,4,4,4,No,,,,,No,,,,,,
