StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q2_5_TEXT,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1,Q11_2,Q11_3,Q11_4,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q14,Q15,Q15_15_TEXT,Q16_1,Q16_2,Q16_3,Q16_4
3/7/2021 0:43,3/7/2021 0:46,IP Address,100,202,TRUE,3/7/2021 0:46,R_vNyooap08DWC3At,anonymous,EN,Code Blue,Our team elected a team leader early in the term,,random,No,Somewhat unhappy,6,4,6,5,3,2,3,4,4,3,3,4,4,4,4,2,5,3,5,5,5,1,7,3,4,4,4,No,,,,,Yes,Stressbuster Week,,5,2,4,4
3/8/2021 0:57,3/8/2021 1:27,IP Address,38,1761,FALSE,3/15/2021 2:27,R_1KdphDUakTSrI2J,anonymous,EN,The Painkillers,Other (please specify),test,test,No,Neither happy nor unhappy,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2021 5:32,3/15/2021 5:35,IP Address,100,214,TRUE,3/15/2021 5:35,R_1KqDOcY7F175soY,anonymous,EN,Trauma Troopers,Team leadership was shared between all team members throughout the term and decisions were made in democratic way,,So anyone who wanted to be the leader could be the leader if the stepped up first.,No,Extremely happy,8,9,9,9,2,4,2,2,2,4,4,6,5,5,5,1,2,3,1,3,2,2,1,2,2,1,5,Yes,2,1,3,1,No,,,,,,
3/15/2021 5:32,3/15/2021 5:36,IP Address,100,233,TRUE,3/15/2021 5:36,R_0CXEoYXhYaG6Ngt,anonymous,EN,Team Blood and Guts,Team leadership was shared between all team members throughout the term and decisions were made in democratic way,,Someone volunteered at the beginning of TRAT to become team leader.,Yes,Somewhat happy,7,9,10,10,4,5,3,3,3,4,5,5,6,6,6,1,1,1,1,1,2,2,2,1,1,1,1,No,,,,,No,,,,,,
3/15/2021 5:31,3/15/2021 5:36,IP Address,100,282,TRUE,3/15/2021 5:36,R_3n6Ir5FQYE5fMgd,anonymous,EN,Super Scrubs,Team leadership rotated based on the task our team was performing,,someone elects himself at the beginning of each session,Yes,Extremely happy,10,10,10,10,5,5,5,5,5,2,5,4,4,5,5,1,2,1,1,5,5,4,5,2,1,1,1,Yes,3,2,2,2,Unsure,,,,,,
3/15/2021 5:32,3/15/2021 5:36,IP Address,100,268,TRUE,3/15/2021 5:36,R_3KrciwiTINvRRUm,anonymous,EN,Vitamin IQ Deficiency,Team leadership was shared between all team members throughout the term and decisions were made in democratic way,,-,Yes,Extremely happy,9,8,5,8,4,4,4,4,3,3,3,6,6,5,5,1,2,1,2,2,3,3,3,1,3,2,3,No,,,,,No,,,,,,
3/15/2021 5:31,3/15/2021 5:36,IP Address,100,323,TRUE,3/15/2021 5:36,R_2ATIODsZku5qB0t,anonymous,EN,Trauma Troopers,Team leadership was shared between all team members throughout the term and decisions were made in democratic way,,We always give alternate chances to every member of our group to become the team leader.,No,Extremely happy,10,10,10,9,4,4,3,3,4,4,4,6,6,6,6,2,3,3,4,1,1,1,1,2,3,3,4,Yes,2,2,2,2,Yes,"Pep Talk series,Art therapy sessions with Art Club,Peer tutoring initiative",,2,2,2,2
3/15/2021 5:31,3/15/2021 5:36,IP Address,100,334,TRUE,3/15/2021 5:36,R_12D2Q5gdOIHv8hV,anonymous,EN,Super Scrubs,Team leadership was shared between all team members throughout the term and decisions were made in democratic way,,"the person who was gonna be the leader would ask if anyone is willing to take the lead, if no one replied that person would take the lead and be leader ",No,Somewhat happy,8,3,7,6,3,4,2,2,4,5,3,4,5,4,3,1,3,1,2,5,4,5,4,4,4,4,4,No,,,,,No,,,,,,
3/15/2021 5:32,3/15/2021 5:37,IP Address,100,251,TRUE,3/15/2021 5:37,R_1Fsycz7kxwLClbc,anonymous,EN,Super Scrubs,Team leadership was shared between all team members throughout the term and decisions were made in democratic way,,The leader would simply share their screen and read the questions out loud but all answers were given by members,Yes,Somewhat happy,10,10,10,10,5,3,4,4,4,5,5,5,5,5,4,3,4,3,4,1,1,1,3,4,4,3,3,No,,,,,No,,,,,,
3/15/2021 5:31,3/15/2021 5:37,IP Address,100,360,TRUE,3/15/2021 5:37,R_3P6sf4qTIsK9ODe,anonymous,EN,Team Blood and Guts,Team leadership was shared between all team members throughout the term and decisions were made in democratic way,,"The team leader mainly shared the screen, however all decisions were made as a group.",No,Extremely happy,10,10,10,10,2,3,1,2,3,4,3,6,4,7,4,2,2,2,4,5,5,4,1,2,2,2,4,No,,,,,Unsure,,,,,,
3/15/2021 5:32,3/15/2021 5:37,IP Address,100,327,TRUE,3/15/2021 5:37,R_2QAO2Ni15i4Bn6S,anonymous,EN,I Dottori,Team leadership was shared between all team members throughout the term and decisions were made in democratic way,,"Depending on the week we elected a team leader, or if somebody volunteered himself/herself and once everyone agreed we started with the tasks ",Yes,Extremely happy,7,8,9,10,4,5,5,4,4,2,5,4,4,5,5,1,2,1,1,3,2,4,3,4,4,4,4,Yes,2,3,4,4,No,,,,,,
3/15/2021 5:31,3/15/2021 5:37,IP Address,100,403,TRUE,3/15/2021 5:37,R_1NkzJxYtFtEwV35,anonymous,EN,I Dottori,Team leadership was shared between all team members throughout the term and decisions were made in democratic way,,Every class someone would volunteer to become a leader and the team would agree.,No,Extremely happy,10,8,10,10,5,4,4,3,4,3,4,5,4,6,6,1,1,1,1,1,1,1,2,1,4,2,3,Yes,1,1,1,3,Unsure,,,,,,
3/15/2021 5:31,3/15/2021 5:38,IP Address,100,416,TRUE,3/15/2021 5:38,R_NUvQgAOHhHv4XT3,anonymous,EN,Vitamin IQ Deficiency,Team leadership was shared between all team members throughout the term and decisions were made in democratic way,,"one person would take the lead each session, and we would discuss everything together and if we had differences of opinion and had to make a choice, we went by votes 
",Yes,Extremely happy,10,10,9,10,5,4,3,4,4,3,4,6,6,6,5,2,3,1,4,1,3,1,3,1,3,1,2,Yes,2,3,2,3,No,,,,,,
3/15/2021 5:31,3/15/2021 5:38,IP Address,100,423,TRUE,3/15/2021 5:38,R_1gip2ZLmeQMNIfT,anonymous,EN,Code Blue,"Although we did not formally elect a team leader, one of the team members assumed team leader role early in the term",,every class a person would volunteer to be the leader ,No,Extremely happy,10,10,10,10,5,5,4,2,5,4,5,6,7,6,7,1,1,1,1,1,1,1,1,1,2,1,2,No,,,,,No,,,,,,
3/15/2021 5:31,3/15/2021 5:39,IP Address,100,485,TRUE,3/15/2021 5:39,R_2uVRs2jcf6XiQ3d,anonymous,EN,Trauma Troopers,Team leadership was shared between all team members throughout the term and decisions were made in democratic way,,We decided in the beginning of the semester to make a rotation based system in which each week one of us randomly becomes the reader to ensure a fair system.,Yes,Somewhat happy,9,9,9,8,4,5,5,5,5,4,4,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,Yes,6,6,6,6,Yes,"Life Skills for Year 1 students,Pep Talk series,Peer tutoring initiative",,6,6,6,6
3/15/2021 5:31,3/15/2021 5:39,IP Address,100,460,TRUE,3/15/2021 5:39,R_3ERo7JmCRF40F0D,anonymous,EN,Team Blood and Guts,Team leadership was shared between all team members throughout the term and decisions were made in democratic way,,"Before every session began one person volunteered to be the leader. The sessions were not centered around the leader, the leader just facilitated the session, with everybody speaking.",Yes,Somewhat happy,9,9,9,7,3,4,2,2,2,3,1,5,5,6,5,1,4,1,3,1,1,1,1,5,3,,,No,,,,,Yes,Pep Talk series,,5,4,5,4
3/15/2021 5:31,3/15/2021 5:40,IP Address,100,525,TRUE,3/15/2021 5:40,R_2rO3G2ht27vg1G8,anonymous,EN,Code Blue,Other (please specify),Leadership would sometimes be based on volunteering ,"Our team does not stick to one leader specifically, we leave the choice open to whoever wants to lead the discussion at the session and that may change from one time to another",Yes,Extremely happy,10,10,10,10,4,5,4,4,4,4,5,6,7,7,5,1,2,1,2,4,5,4,5,1,2,1,3,No,,,,,Unsure,,,,,,
3/15/2021 5:32,3/15/2021 5:42,IP Address,100,615,TRUE,3/15/2021 5:42,R_T4KNgjxpXQ7YCiJ,anonymous,EN,Super Scrubs,Other (please specify),"In my group , the leader role is exchanged between two students every alternate week ","In the beginning, whoever felt comfortable sharing their screen could volunteer and it was two that was the most comfortable so we would switch the roles every alternate week to make it fair and square and ever since these two would lead us ",Yes,Extremely happy,9,6,10,10,5,4,2,4,3,5,5,7,7,7,7,1,4,1,3,1,1,1,1,1,2,1,2,No,,,,,No,,,,,,
3/15/2021 5:34,3/15/2021 5:45,IP Address,100,705,TRUE,3/15/2021 5:45,R_3JFzs3RQJ4ZJFvz,anonymous,EN,Vitamin IQ Deficiency,Team leadership rotated based on the task our team was performing,,"In each session, a different person would simply volunteer to be the leader for that session. ",Yes,Extremely happy,9,10,10,9,3,3,3,3,3,3,3,6,5,6,4,3,5,3,4,1,3,1,4,5,5,5,5,Yes,3,3,3,4,Unsure,,,,,,
3/15/2021 5:31,3/15/2021 5:47,IP Address,100,972,TRUE,3/15/2021 5:47,R_1JRDSJJd8a96FoU,anonymous,EN,Vitamin IQ Deficiency,Team leadership rotated based on the task our team was performing,,We just decided that whoever is most comfortable in taking charge for the day should be the leader. We didn't want to assign one person as the leader at all times because that doesn't seem fair or right. ,Yes,Extremely happy,10,10,10,8,2,1,1,1,2,2,5,3,4,3,3,5,6,3,6,7,7,7,7,2,3,3,2,No,,,,,No,,,,,,
3/15/2021 5:40,3/15/2021 5:56,IP Address,100,961,TRUE,3/15/2021 5:56,R_3rOOKMrye26MFmj,anonymous,EN,The Painkillers,Team leadership rotated based on the task our team was performing,,It just depended on who was in the mood to be a team leader.,Yes,Neither happy nor unhappy,10,10,10,10,4,5,3,4,4,5,5,7,7,7,7,1,1,1,1,1,1,2,1,1,1,1,1,Yes,1,1,1,1,Unsure,,,,,,
